webcamID	userNumber	webcamName	description	purpose	url	latitude	longitude	city	stateProvinceRegion	country	height	heightUnits	azimuth	fieldOfView	rotating	rotatingFieldOfView	verticalViewAngle	verticalFieldOfView	minViewRadius	minViewRadiusUnits	maxViewRadius	maxViewRadiusUnits	webcamColor	viewshedColor	isActive	dateSubmitted	dateApproved	approvalStatus
1	22	Flamand Beach	Baie de Flamands	beach	https://www.youtube.com/embed/HDP7hAuBIeY	17.91663	-62.86273	Saint-Barthelemy	Saint-Barthelemy	France	5	ft	0	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
2	22	Hotel San Cassiano	Calle Larga Rosa	landmarks	https://www.youtube.com/embed/cjCmsRjxVL0	45.4405	12.33218	Venice	Venice	Italy	5	ft	90	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
3	22	St. Mark's Basin	Riva degli Schiavoni	tourist	https://www.youtube.com/embed/eE6VVJ3hvv8	45.43387	12.34692	Venice	Venice	Italy	5	ft	30	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
4	22	Social Samui Cam	Big Buddha	beach	https://www.youtube.com/embed/rgVermontrsjCySI	9.56773	100.06142	Koh Samui	Koh Samui	Thailand	5	ft	45	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
5	22	Platinum Apartments	1 Freshwater Pl	city	https://www.youtube.com/embed/EpvIAopAYbw	-37.82693	144.95947	Melbourne	Melbourne	Australia	5	ft	225	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
6	22	Weymouth Harbour	13 Custom House Quay	landmarks	https://www.youtube.com/embed/y9TxxUZvkvc	50	-2	Dorset	Dorset	United Kingdom	5	ft	345	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
7	22	Covered Bridge - Mad River Valley	4403 Main St	town	https://www.youtube.com/embed/Uf6XmDa4ju0	44	-72	Waitsfield	Vermont	USA	5	ft	315	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
8	22	Four Seasons Hotel	Posadas 1086	city	https://www.youtube.com/embed/if91GyWP3zQ	-34	-58	Buenos Aires	Buenos Aires	Argentina	5	ft	150	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
9	22	Denver City - Boesen Law	4100 E Mississippi Ave	city	https://www.youtube.com/embed/Fq68_K0YlIA	39	-104	Denver	Colorado	USA	5	ft	10	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
10	22	Puerto del Carmen Beach	Puerto del Carmen	beach	https://www.youtube.com/embed/r-SuEnEjnCc	28	-13	Canary Islands	Canary Islands	Spain	5	ft	135	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
11	22	Lake Tahoe West Shore	3411 Lake Tahoe Blvd	landmarks	https://www.youtube.com/embed/thHgzWlveqs	39	-120	Sierra Nevada	Nevada	USA	5	ft	90	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
12	22	Cottages By The Sea	127A Smithfield Rd	beach	https://www.youtube.com/embed/Z5zJhFbnvNY	17	-64	St. Croix	Saint Croix	Virgin Islands	5	ft	0	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
13	22	Aberhour - Fife Weather	"Aberhour, Fife"	beach	https://www.youtube.com/embed/-wMeL0r5MnM	56	-3	Scotland	Scotland	United Kingdom	5	ft	90	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
14	22	Banff Live Cam - King Edward Hotel	137 banff ave	town	https://www.youtube.com/embed/MUS9EEtMV_c	51	-115	Banff	Banff	Canada	5	ft	90	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
15	22	African Safari Camera - Mpala Research Centre	P.O. Box 555 - 10400	animals	https://www.youtube.com/embed/xG1fcT7BC1A	1	36	Nanyuki	Nanyuki	Kenya	5	ft	1	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
16	22	Odaiba Marine Park	"1 Chome-4 Daiba, Minato City"	city	https://www.youtube.com/embed/0wG5bPNO4oY	35.001	139.001	Tokyo 	Tokyo	Japan	5	ft	225	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
